age,Working Section,Financial Weight,education,education-num,Marriage Status,occupation,Relationship Status,Skin Color,Gender,Capital Gain,Capital Loss,hours-per-week,Country,id,Predictions
47,Private,160440,Bachelors,13,Married Civilian,Sales,Husband,White,Male,0,0,55,United-States,19568,Rich
49,Self Employed No Inc,377622,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,21363,Poor
25,Private,154941,Bachelors,13,Married Civilian,Sales,Husband,White,Male,0,0,40,United-States,28553,Rich
38,Self Employed No Inc,164526,Prof-school,15,No Marriage,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,5713,Rich
22,?,61499,HS-grad,9,No Marriage,?,Not-in-family,White,Female,0,0,40,United-States,25099,Poor
25,Private,198632,Some-college,10,Married but Spouse Absent,Sales,Not-in-family,White,Male,0,0,50,United-States,2542,Poor
24,Private,149396,Some-college,10,No Marriage,Other-service,Other-relative,Black,Female,0,0,30,Haiti,28965,Poor
46,Self Employed No Inc,57452,Assoc-voc,11,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,3382,Rich
38,Private,229236,HS-grad,9,Married Civilian,Transport-moving,Husband,Other,Male,0,0,40,Puerto-Rico,21748,Poor
37,Private,186191,HS-grad,9,Married Civilian,Other-service,Husband,White,Male,0,0,45,?,23687,Poor
44,Private,207685,HS-grad,9,No Marriage,Exec-managerial,Not-in-family,White,Male,0,1564,55,England,15804,Rich
50,Self Employed No Inc,64667,HS-grad,9,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,60,Vietnam,20360,Poor
33,Private,79923,Some-college,10,Married Civilian,Sales,Husband,White,Male,0,0,20,United-States,27564,Poor
42,Private,145175,Some-college,10,Married Civilian,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,20912,Poor
38,Private,191103,Prof-school,15,Married Civilian,Prof-specialty,Husband,White,Male,0,0,99,United-States,13558,Rich
27,Private,189974,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,0,0,20,United-States,13833,Poor
50,Private,128143,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,50,United-States,28234,Rich
44,Police,38434,Bachelors,13,Widowed,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,32247,Rich
57,Private,46699,HS-grad,9,Married Civilian,Adm-clerical,Wife,White,Female,0,0,40,United-States,8567,Poor
26,Private,282304,Some-college,10,No Marriage,Sales,Not-in-family,White,Male,0,0,45,United-States,4883,Poor
45,Private,207540,Doctorate,16,Separated,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,21191,Rich
21,Private,292264,HS-grad,9,No Marriage,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,7314,Poor
42,Private,132633,HS-grad,9,No Marriage,Priv-house-serv,Not-in-family,White,Female,0,0,40,?,6360,Poor
30,Private,179446,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,3379,Poor
39,Private,491000,Bachelors,13,No Marriage,Exec-managerial,Other-relative,Black,Male,0,0,45,United-States,22746,Poor
53,Private,311269,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,31666,Poor
30,Private,154120,Bachelors,13,No Marriage,Sales,Not-in-family,White,Male,0,0,65,United-States,13628,Poor
24,Private,211968,Some-college,10,No Marriage,Sales,Not-in-family,White,Female,0,0,24,United-States,15430,Poor
36,Private,383518,Some-college,10,Married Civilian,Adm-clerical,Wife,Black,Female,99999,0,40,United-States,6225,Rich
36,Local Government,139703,Masters,14,No Marriage,Prof-specialty,Not-in-family,Black,Female,0,0,40,United-States,12249,Poor
31,Private,129775,Bachelors,13,Married Civilian,Sales,Husband,White,Male,0,0,65,United-States,30715,Poor
37,Private,312271,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,65,United-States,8185,Poor
45,Private,262802,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,27465,Poor
68,?,270339,10th,6,Married Civilian,?,Husband,White,Male,0,0,35,United-States,28783,Poor
32,Private,168443,Masters,14,Married Civilian,Exec-managerial,Wife,White,Female,0,0,40,United-States,16623,Poor
36,Private,111545,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,70,United-States,9160,Poor
65,No Pay,172949,HS-grad,9,Married Civilian,Transport-moving,Husband,White,Male,2414,0,20,United-States,20073,Poor
21,Private,33831,HS-grad,9,No Marriage,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,29498,Poor
72,Private,497280,9th,5,Widowed,Other-service,Unmarried,Black,Female,0,0,20,United-States,23677,Poor
44,Self Employed No Inc,230684,HS-grad,9,Married Civilian,Transport-moving,Husband,White,Male,0,0,55,United-States,1376,Poor
43,Private,243380,Some-college,10,Married Civilian,Adm-clerical,Husband,White,Male,0,0,40,United-States,21000,Poor
21,Private,411068,Some-college,10,No Marriage,Adm-clerical,Own-child,White,Female,0,0,35,United-States,23025,Poor
36,Private,131414,Some-college,10,No Marriage,Sales,Not-in-family,Black,Female,0,0,36,United-States,736,Poor
19,Private,323421,Some-college,10,No Marriage,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,1650,Poor
56,Private,182062,Bachelors,13,Married Civilian,Tech-support,Husband,White,Male,0,0,48,United-States,27980,Rich
34,Private,96245,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,21963,Poor
47,Private,211668,HS-grad,9,Married Civilian,Machine-op-inspct,Wife,Black,Female,0,0,40,United-States,2205,Rich
35,Private,129597,Some-college,10,Married Civilian,Sales,Husband,White,Male,0,0,46,United-States,24957,Poor
31,Private,223212,HS-grad,9,Married Civilian,Other-service,Husband,White,Male,0,0,40,Mexico,728,Poor
24,?,152140,HS-grad,9,Married Civilian,?,Wife,White,Female,0,0,40,United-States,29693,Poor
56,Private,266091,Bachelors,13,No Marriage,Prof-specialty,Not-in-family,White,Female,2907,0,52,Cuba,19054,Poor
48,Private,192791,HS-grad,9,Married Civilian,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,21257,Poor
23,Private,166527,Some-college,10,No Marriage,Exec-managerial,Own-child,Other,Female,0,0,40,United-States,18576,Poor
21,Private,209483,Some-college,10,No Marriage,Sales,Own-child,White,Female,0,0,20,United-States,5237,Poor
25,Private,259505,HS-grad,9,No Marriage,Tech-support,Not-in-family,White,Male,0,0,40,United-States,14444,Poor
29,Self Employed No Inc,266855,Bachelors,13,Separated,Prof-specialty,Own-child,White,Male,0,0,40,United-States,869,Poor
62,Private,123411,7th-8th,4,Married Civilian,Transport-moving,Husband,White,Male,0,0,53,United-States,28858,Poor
24,Private,162282,HS-grad,9,No Marriage,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,15321,Poor
18,Private,216284,11th,7,No Marriage,Adm-clerical,Own-child,White,Female,0,0,20,United-States,860,Poor
57,Private,212448,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,368,Rich
62,Private,178745,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,45,United-States,5062,Rich
39,Self Employed + Inc,372525,Masters,14,Married Civilian,Exec-managerial,Husband,White,Male,0,0,60,United-States,22791,Rich
59,Private,99248,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,7816,Poor
28,Private,201861,Some-college,10,Married Civilian,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,27493,Poor
52,Private,141301,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,3233,Poor
54,Private,227832,Some-college,10,Married Civilian,Adm-clerical,Husband,White,Male,0,0,40,United-States,15918,Poor
29,Self Employed No Inc,32280,HS-grad,9,No Marriage,Farming-fishing,Not-in-family,White,Male,0,0,45,United-States,9450,Poor
54,Self Employed No Inc,261207,7th-8th,4,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,Cuba,23836,Poor
50,Local Government,36489,10th,6,No Marriage,Other-service,Not-in-family,White,Male,0,0,40,United-States,17575,Poor
51,Private,123011,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,10879,Rich
58,?,114362,Some-college,10,Married Civilian,?,Husband,Black,Male,0,0,30,United-States,25930,Poor
21,Private,322674,Some-college,10,No Marriage,Other-service,Not-in-family,White,Male,0,0,32,United-States,28794,Poor
27,Private,247711,HS-grad,9,Married Civilian,Adm-clerical,Wife,White,Female,0,0,40,United-States,14486,Poor
32,Private,255885,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,43,United-States,26209,Rich
63,Private,86108,HS-grad,9,Widowed,Farming-fishing,Not-in-family,White,Male,0,0,6,United-States,839,Poor
30,Private,140011,Assoc-voc,11,Married Civilian,Handlers-cleaners,Husband,White,Male,0,0,53,United-States,5345,Poor
28,Private,181776,Some-college,10,No Marriage,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,22712,Poor
26,Private,483822,7th-8th,4,No Marriage,Handlers-cleaners,Unmarried,White,Male,0,0,40,Guatemala,13456,Poor
34,Private,35644,Some-college,10,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,14027,Rich
35,Private,216711,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,23619,Rich
44,Self Employed No Inc,402397,Masters,14,Married Civilian,Exec-managerial,Wife,White,Female,0,1902,60,United-States,4967,Rich
30,Private,252752,Bachelors,13,Married Civilian,Prof-specialty,Wife,White,Female,0,0,40,United-States,18255,Poor
37,Private,126569,HS-grad,9,No Marriage,Craft-repair,Own-child,White,Male,0,0,40,United-States,30612,Poor
68,Private,201732,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,9102,Poor
25,Private,148300,Some-college,10,No Marriage,Other-service,Own-child,White,Female,0,0,35,United-States,29521,Poor
32,State Govenment,513416,Masters,14,No Marriage,Prof-specialty,Not-in-family,White,Male,0,0,10,United-States,26959,Poor
47,Self Employed No Inc,165468,HS-grad,9,Married Civilian,Machine-op-inspct,Husband,White,Male,7298,0,40,United-States,10909,Rich
35,Private,33975,Assoc-acdm,12,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,10748,Poor
25,Private,110138,HS-grad,9,No Marriage,Other-service,Not-in-family,White,Male,0,0,40,United-States,24242,Poor
49,Private,50474,HS-grad,9,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,13257,Poor
44,Local Government,323790,Bachelors,13,Married Civilian,Protective-serv,Husband,White,Male,0,0,40,United-States,11829,Rich
39,Private,30916,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,28846,Poor
44,Private,205706,HS-grad,9,No Marriage,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,15982,Poor
24,?,151153,Some-college,10,No Marriage,?,Not-in-family,Asian-Pac-Islander,Male,99999,0,50,South,12093,Rich
50,Private,138270,HS-grad,9,Married Civilian,Sales,Wife,Black,Female,0,0,40,United-States,26404,Poor
43,?,200508,Bachelors,13,Married Civilian,?,Husband,White,Male,0,0,40,United-States,12543,Poor
39,Private,25803,Some-college,10,Married Civilian,Sales,Husband,White,Male,0,0,55,United-States,5930,Poor
26,Private,380674,HS-grad,9,No Marriage,Handlers-cleaners,Own-child,White,Male,0,0,52,United-States,12950,Poor
34,Private,226443,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,United-States,26849,Poor
39,Private,155603,Some-college,10,No Marriage,Other-service,Own-child,Black,Female,0,2205,40,United-States,17826,Poor
43,Private,64506,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,30,United-States,28662,Poor
34,Private,188246,HS-grad,9,Married Civilian,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,13473,Poor
38,Self Employed No Inc,185325,HS-grad,9,Married Civilian,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,20639,Rich
55,Private,143372,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,28495,Poor
38,Private,103323,HS-grad,9,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,15753,Poor
26,Private,34402,Bachelors,13,No Marriage,Adm-clerical,Not-in-family,White,Male,0,0,45,United-States,2797,Poor
24,Private,206827,Some-college,10,No Marriage,Sales,Own-child,White,Female,5060,0,30,United-States,30772,Poor
45,Private,170846,Assoc-voc,11,Married Civilian,Exec-managerial,Wife,White,Female,0,0,40,United-States,7305,Rich
19,Private,172893,Some-college,10,No Marriage,Exec-managerial,Own-child,White,Female,0,0,30,United-States,2384,Poor
35,Self Employed + Inc,65624,Bachelors,13,Married Civilian,Exec-managerial,Husband,White,Male,0,0,50,United-States,29699,Rich
59,Private,91384,Bachelors,13,Married Civilian,Adm-clerical,Husband,White,Male,0,0,40,United-States,32162,Poor
45,Private,170600,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,7665,Poor
59,?,87247,10th,6,Divorced,?,Not-in-family,White,Female,0,0,40,England,25578,Poor
28,Private,137898,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,10775,Poor
37,Self Employed + Inc,175360,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,17241,Rich
28,Private,350254,1st-4th,2,No Marriage,Priv-house-serv,Not-in-family,White,Female,0,0,40,Mexico,26430,Poor
22,Private,95566,Some-college,10,Married but Spouse Absent,Sales,Own-child,Other,Female,0,0,22,Dominican-Republic,28683,Poor
25,Private,404616,Masters,14,Married Civilian,Farming-fishing,Not-in-family,White,Male,0,0,99,United-States,1172,Rich
18,Private,198614,11th,7,No Marriage,Sales,Own-child,Black,Female,0,0,8,United-States,13742,Poor
58,Private,103540,7th-8th,4,Married Civilian,Transport-moving,Husband,Black,Male,0,0,40,United-States,28078,Poor
45,Private,106113,Some-college,10,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,7837,Rich
21,Private,231160,Some-college,10,No Marriage,Other-service,Own-child,White,Male,0,0,25,United-States,20279,Poor
22,Private,287988,Some-college,10,No Marriage,Sales,Not-in-family,White,Male,0,0,20,United-States,4777,Poor
43,Private,245842,HS-grad,9,Married Civilian,Machine-op-inspct,Husband,White,Male,0,0,44,Mexico,3656,Poor
30,State Govenment,169496,Bachelors,13,Married Civilian,Tech-support,Husband,White,Male,0,0,40,United-States,649,Rich
43,Private,163847,Bachelors,13,Married Civilian,Farming-fishing,Husband,White,Male,0,0,50,United-States,8377,Rich
57,Local Government,47392,HS-grad,9,Married Civilian,Exec-managerial,Husband,White,Male,0,0,40,United-States,20057,Rich
25,Private,137951,HS-grad,9,No Marriage,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,6367,Poor
49,Self Employed No Inc,48495,HS-grad,9,Married Civilian,Exec-managerial,Husband,White,Male,0,0,45,United-States,29877,Poor
39,Private,190466,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,2174,0,40,United-States,5847,Poor
26,Private,181666,Assoc-acdm,12,Married Civilian,Adm-clerical,Own-child,White,Female,0,0,40,?,25458,Poor
24,Private,175254,Some-college,10,No Marriage,Transport-moving,Not-in-family,Black,Male,0,0,40,United-States,8934,Poor
33,Self Employed No Inc,312055,Bachelors,13,Married Civilian,Sales,Husband,White,Male,0,0,45,United-States,2386,Rich
58,Self Employed + Inc,258883,Bachelors,13,Married Civilian,Prof-specialty,Husband,White,Male,0,0,60,United-States,21224,Rich
44,?,268804,HS-grad,9,Married Civilian,?,Husband,Black,Male,0,0,30,United-States,21413,Poor
23,Private,322674,Some-college,10,No Marriage,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,21336,Poor
55,Self Employed + Inc,257216,Masters,14,Widowed,Sales,Not-in-family,White,Female,0,0,40,United-States,9433,Poor
27,State Govenment,365916,Assoc-acdm,12,No Marriage,Exec-managerial,Not-in-family,White,Female,0,0,58,United-States,11488,Poor
34,Private,97723,Bachelors,13,Married Civilian,Prof-specialty,Husband,White,Male,0,0,40,United-States,8879,Rich
19,Private,574271,HS-grad,9,No Marriage,Handlers-cleaners,Own-child,White,Male,0,0,28,United-States,24016,Poor
30,Private,97757,Assoc-voc,11,Married Civilian,Prof-specialty,Wife,White,Female,0,0,36,United-States,3727,Rich
26,Private,109080,Some-college,10,Married Civilian,Sales,Husband,White,Male,0,0,60,United-States,7159,Poor
22,Private,254547,Some-college,10,No Marriage,Adm-clerical,Other-relative,Black,Female,0,0,30,Jamaica,6044,Poor
39,Private,121590,Some-college,10,No Marriage,Prof-specialty,Not-in-family,Black,Male,4787,0,40,United-States,20836,Rich
37,Self Employed No Inc,255454,Some-college,10,No Marriage,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,6892,Poor
42,Private,210525,Some-college,10,Married Civilian,Tech-support,Husband,White,Male,0,0,20,United-States,6196,Rich
31,Private,191834,Some-college,10,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,28312,Rich
40,Local Government,105717,Masters,14,No Marriage,Adm-clerical,Not-in-family,White,Female,0,1876,35,United-States,8191,Poor
48,Private,176140,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States,3069,Poor
76,Local Government,169133,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,15102,Poor
22,Private,254293,12th,8,No Marriage,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,27528,Poor
23,Private,163870,Some-college,10,No Marriage,Craft-repair,Own-child,White,Male,0,0,40,United-States,12434,Poor
36,Private,187046,HS-grad,9,Married Civilian,Sales,Husband,White,Male,0,0,40,United-States,2973,Rich
31,Private,243142,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,26550,Poor
43,Private,120277,HS-grad,9,Married Civilian,Craft-repair,Husband,White,Male,0,0,40,United-States,7536,Rich
40,?,170649,Some-college,10,Married Civilian,?,Husband,White,Male,0,0,8,United-States,19616,Poor
34,Police,419691,Bachelors,13,Married Civilian,Protective-serv,Husband,White,Male,7298,0,54,United-States,12385,Rich
63,Self Employed No Inc,117681,Assoc-voc,11,Married Civilian,Farming-fishing,Husband,White,Male,0,0,40,United-States,4148,Poor
31,Private,395170,Assoc-voc,11,Married Civilian,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,24,Mexico,3821,Poor
43,Local Government,598995,Bachelors,13,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,42,United-States,20536,Poor
39,Private,28572,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,40,United-States,11447,Poor
41,Private,200671,Bachelors,13,Divorced,Transport-moving,Own-child,Black,Male,6497,0,40,United-States,15974,Poor
20,Private,250630,Some-college,10,No Marriage,Sales,Not-in-family,White,Female,0,0,20,United-States,24647,Poor
44,Private,179136,HS-grad,9,No Marriage,Sales,Not-in-family,White,Female,0,0,40,United-States,6938,Poor
31,Private,264936,Some-college,10,No Marriage,Other-service,Not-in-family,White,Female,0,0,40,United-States,2012,Poor
25,Private,297154,HS-grad,9,Married Civilian,Handlers-cleaners,Husband,White,Male,2407,0,40,United-States,4934,Poor
36,Private,287658,HS-grad,9,No Marriage,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,5851,Poor
